gene,mean,count,downregulated
PDHA1,7.381161537550551e-08,4,4
LMCD1,7.446832682636327e-08,4,0
COL12A1,7.467448987664532e-08,4,0
GLYCTK,7.493535162914862e-08,4,4
CHST3,7.506042271041117e-08,4,0
INPP5A,7.578075883067187e-08,4,4
GABRP,7.634519109279904e-08,4,0
DEF8,7.6608991816285e-08,4,0
CHSY1,7.68719681836631e-08,4,0
BAG2,7.821872265986503e-08,4,0
TUBB6,7.838938607963895e-08,4,0
CYP4F12,7.893562676651272e-08,4,4
ARHGEF3,7.94912674639483e-08,4,0
TMEM106A,8.039545075688413e-08,4,0
RNF128,8.206003359222002e-08,4,4
SSR1,8.328032565983189e-08,4,0
HSD3B1,8.329868682449317e-08,4,4
