Gene,P-value
PRKCH,1.0481970251539274e-11
ALDH7A1,1.0709012462305463e-11
ENTPD7,1.0737674907904034e-11
MIER2,1.0770516494954653e-11
XYLT2,1.0806411438769234e-11
MDM4,1.0822834147654868e-11
PLEKHG1,1.0857309675590498e-11
STAT6,1.0915114530854858e-11
TRIM7,1.0993603484450937e-11
ACE2,1.109405518372816e-11
LEPROT,1.1106356064474487e-11
NUDT5,1.1184445258798467e-11
CAPZA2,1.1198134635043285e-11
IFT140,1.1238682541585084e-11
LYRM4,1.1328411853346558e-11
ANK1,1.1356398255937632e-11
CCND3,1.1573690990887762e-11
POGK,1.165992237849138e-11
LIX1L,1.1702381597327013e-11
USP15,1.1762494472545516e-11
KIT,1.1895793491505012e-11
RPS6KA4,1.1912645663018005e-11
DDI2,1.2225319242527897e-11
GPATCH4,1.2448863469065338e-11
RTCA,1.2558711398342224e-11
WWC3,1.2636286061994231e-11
PIKFYVE,1.263968670865901e-11
IPO4,1.2692024147636576e-11
KIF3A,1.282992436880484e-11
GRWD1,1.2949990635459466e-11
TANC1,1.3053183859096252e-11
CD226,1.3201735761908595e-11
UNKL,1.3376020081792486e-11
RBM41,1.3410226701657181e-11
PTK2B,1.3587757852657445e-11
CDK4,1.3644035898166835e-11
SURF2,1.3800716465891166e-11
PIEZO1,1.389721355831736e-11
CCDC85B,1.3998636561066738e-11
TECPR1,1.4100759641036985e-11
STXBP6,1.411934362113435e-11
ADRA2A,1.4228985056581784e-11
SETD2,1.4391312288486059e-11
MYD88,1.4429351694078184e-11
ATP2B1,1.4493439159954357e-11
ATP6V1F,1.4544042522361055e-11
MIEN1,1.4590623736974482e-11
GIMAP1,1.461187686749585e-11
RBMX,1.4623762723465868e-11
NISCH,1.5197444411590488e-11
LETMD1,1.5317631117305683e-11
ADAM10,1.5408170755295966e-11
RBM38,1.5652804671706267e-11
POLR2M,1.5830863573185072e-11
TAGAP,1.585161479149048e-11
RRAGC,1.5886296713522032e-11
PPP6R3,1.5941846144784713e-11
SIRT7,1.643906158377956e-11
SMC4,1.6460656290592738e-11
CEP85L,1.6575150940205306e-11
ZNF33A,1.6649104113572255e-11
MCM6,1.6721789836888954e-11
C1orf43,1.737410628150785e-11
MCEE,1.7453795392553716e-11
PAK1IP1,1.7587391682791384e-11
BEX4,1.759866679185343e-11
EPM2AIP1,1.76211898874602e-11
CCDC82,1.780116332902348e-11
CELSR1,1.7912468398311155e-11
RGL2,1.8075772353137203e-11
ARPC1B,1.811336577606864e-11
PRMT6,1.8124040768709235e-11
UBE2W,1.815556577052259e-11
KDM2A,1.837607767271709e-11
GPR89B,1.841190345357415e-11
PTBP3,1.8508608396711916e-11
COMMD8,1.868904056519351e-11
ZNF654,1.9032790732555354e-11
PPIL4,1.9401054758251216e-11
RAP1GDS1,1.955331905434081e-11
EVI2A,1.9696454430146147e-11
YRDC,1.9850913197251167e-11
BMI1,1.9888097191758953e-11
MLF2,2.0222681879271322e-11
MAP2K4,2.0274044375221514e-11
ATN1,2.037237509211111e-11
DYM,2.0512530858182142e-11
PHKG1,2.0734612684557306e-11
SF3B2,2.0950848173645675e-11
MANBA,2.1114783528994646e-11
ESYT2,2.1171176455210816e-11
SPN,2.1426626081837164e-11
UBA5,2.146219145093148e-11
SCYL1,2.1494099310446858e-11
LMF1,2.1528993978529134e-11
HNRNPH2,2.1529090572359657e-11
AKR1C1,2.1745949072802954e-11
DCAF10,2.1791300465310095e-11
RASSF2,2.1814926509741445e-11
UBE4A,2.1985821153037924e-11
NOC3L,2.2475398161337558e-11
ZDHHC16,2.2539962876946106e-11
IWS1,2.272252393830884e-11
REC8,2.30347483250937e-11
UHMK1,2.3307716235968325e-11
GART,2.3398390665537093e-11
RPA2,2.3770701701906936e-11
GAPVD1,2.407399141680375e-11
STX16,2.437853196017302e-11
GMEB1,2.4632706793015463e-11
BTLA,2.467935199946147e-11
UTP6,2.468243865855261e-11
FCRLA,2.478437946246188e-11
FGFR2,2.47974015978942e-11
RHOA,2.4869856414664922e-11
DAZAP2,2.542081442749808e-11
DDX42,2.544102150265799e-11
TRIM33,2.605802131957576e-11
RAB9A,2.6194748031157276e-11
ANKRD54,2.623709551863294e-11
SNPH,2.6316695862281393e-11
SSBP3,2.6448791638555696e-11
SNX16,2.677934924562514e-11
EBF1,2.6885077464523764e-11
APCDD1,2.690412222772911e-11
C2CD4B,2.70624084651195e-11
ANKIB1,2.732617132105317e-11
L1TD1,2.7414443072559238e-11
FICD,2.755338550569123e-11
DOK1,2.774331225605686e-11
MAGOH,2.8231771018206908e-11
SRFBP1,2.8381202878154625e-11
MTHFD1L,2.8537824731624013e-11
LNX1,2.854135000076802e-11
GTF3C1,2.856892624833784e-11
TEAD1,2.8800436637603624e-11
FNIP1,2.8805787082488767e-11
TUBB6,2.886838711742941e-11
SLC25A48,2.907180213187832e-11
USP42,2.922470584621153e-11
TMCO3,2.9399076122456974e-11
LONRF1,2.9589552908280454e-11
TNFSF13B,2.9675417833385655e-11
ATXN2,3.009888027799203e-11
LLPH,3.0289792408031875e-11
ACSM3,3.0378188651571626e-11
CDC42EP1,3.049761029487909e-11
SLC38A2,3.080198280569132e-11
SMAD2,3.0973690290393065e-11
MAL,3.160914753647386e-11
PSMA4,3.165827585521987e-11
CNTFR,3.224072066715139e-11
MRPL10,3.281283490250901e-11
DCTPP1,3.3094360001508896e-11
SLC27A3,3.352196178473463e-11
UQCRH,3.3654368545179564e-11
ZMYM4,3.3753765221432536e-11
RBMS1,3.397439042147537e-11
AIF1,3.406931012433934e-11
FXR1,3.4632709896033014e-11
ABTB1,3.4642000853721575e-11
FAM32A,3.470753282516371e-11
CASP3,3.499302304512197e-11
FAF2,3.547241350478751e-11
RASGRP3,3.583415017416874e-11
C12orf43,3.612753055469689e-11
MRPS10,3.633957433205236e-11
GAR1,3.7403065567392334e-11
C16orf74,3.7423003687778785e-11
PPM1M,3.813945694934132e-11
EXOC2,3.814664202692008e-11
SNAP47,3.830394320700074e-11
PDCD2L,3.9113786758580155e-11
CEMIP,3.940141269186225e-11
TMEM158,3.9484303002167677e-11
SLC35G1,3.9504378691571324e-11
SERINC3,3.951786228377245e-11
PAQR8,3.977054731669099e-11
CNOT2,3.996234153813655e-11
B4GALT2,4.0584917945157963e-11
EZH2,4.1164562701745665e-11
MTUS1,4.1747183858800096e-11
CYP4V2,4.1832601766682085e-11
UBE3A,4.1894799009102723e-11
APTX,4.208600597714156e-11
BMPR2,4.222510864823991e-11
CPSF6,4.2453184451433524e-11
GDPGP1,4.267021087623026e-11
COG4,4.298670081374437e-11
GLCE,4.3571809648928905e-11
EVX2,4.379982543726316e-11
CPXM1,4.379982543726316e-11
S1PR1,4.379982543726316e-11
CXCL13,4.379982543726316e-11
ARGLU1,4.4105311124272194e-11
DIS3L,4.430698529697505e-11
BLMH,4.440724280317177e-11
RGS1,4.4478614144262676e-11
DENND1B,4.464836604594459e-11
ZNF639,4.486740943292332e-11
MLLT6,4.493299791656377e-11
SLC12A7,4.5067670267763694e-11
IRX2,4.5153215976777714e-11
THUMPD3,4.5254674184400694e-11
THAP1,4.601961012742898e-11
PHF23,4.602596015126168e-11
ZRANB1,4.618898677638961e-11
ATP6V1H,4.6342827000897906e-11
WDR5,4.650897268569945e-11
VRK2,4.715049559846859e-11
ZNF131,4.748303693145858e-11
TFAP2C,4.7506832181661056e-11
MIIP,4.8332518129841683e-11
MAPKAPK3,4.873850509192163e-11
BACE1,4.876213431430151e-11
CREBRF,4.8773410068887e-11
SPTSSA,4.9657455754110454e-11
CRK,4.9990784303599487e-11
TRMT6,5.050489343511118e-11
NAGLU,5.0655081487878085e-11
ECT2,5.092234000846426e-11
GALNT3,5.1439034280008926e-11
MRPL38,5.159965864933041e-11
PLEKHA1,5.1665686124235987e-11
BBS7,5.17193465470236e-11
ZNF830,5.1957265372992074e-11
TMEM147,5.19808244269612e-11
CCDC69,5.2002319911670865e-11
NGDN,5.212714844841272e-11
RBMXL1,5.233842619977957e-11
LSM8,5.296576121171582e-11
FBXO33,5.334546446429909e-11
ATAD3A,5.350099709806546e-11
NOP16,5.3535079747608816e-11
CISD1,5.3947864265706135e-11
ITPRIPL2,5.400670175786862e-11
SMIM19,5.435984697165977e-11
MED6,5.529378056080896e-11
UBR5,5.537778937664396e-11
TSPAN5,5.55248764856727e-11
MYO7B,5.561662227566157e-11
SPAST,5.636222490481923e-11
RIMKLB,5.651202649574911e-11
FXN,5.70886181840944e-11
VILL,5.841102771608577e-11
ZCCHC2,5.859827687668096e-11
IL3RA,5.945521972140562e-11
SHROOM3,6.010170031754661e-11
NOL9,6.051210692870236e-11
PPP1R14D,6.100070340963446e-11
CRIM1,6.128567259057864e-11
HELB,6.149704405512463e-11
MPV17,6.20344741757943e-11
RPL3,6.21264013935524e-11
UGDH,6.270263554218704e-11
CASP7,6.288893872020965e-11
SCNN1A,6.303809816004328e-11
TRMT10C,6.324087654504618e-11
SLC29A1,6.332898465778044e-11
LAT,6.33447363713919e-11
GOLGA8B,6.37174497530612e-11
ATXN1L,6.374282616338277e-11
ANKRD36,6.452521557728284e-11
PPP2R1A,6.509592449245196e-11
SYT11,6.529807573142791e-11
CTBP1,6.558952855169755e-11
DCXR,6.684813585251909e-11
PRR7,6.766470353892592e-11
GCFC2,6.815018554273025e-11
ZFYVE16,6.834148899228462e-11
TCEA1,6.836902472298973e-11
LATS2,6.905269626363026e-11
GSK3A,6.907520339806776e-11
AMOTL2,6.926539463769136e-11
FOSL1,6.94300094032434e-11
MT-ATP8,7.034825997735705e-11
FAM204A,7.062969808692935e-11
CTSD,7.06360655467582e-11
VASP,7.115190590776976e-11
SUSD3,7.202815853725932e-11
NFATC2IP,7.268434462069541e-11
MSH6,7.289762225484172e-11
PHF3,7.313127021941084e-11
YIF1A,7.334080863597702e-11
MRPL15,7.529727680902985e-11
FBXO4,7.602730202739755e-11
ARHGAP21,7.785735149273075e-11
PUSL1,7.828832499360488e-11
ACSL5,7.893037432667777e-11
PHYH,7.90090136436665e-11
POFUT2,7.938934703667954e-11
MAP7D1,7.967760311413926e-11
PSMA3,8.007562124327853e-11
ACTL10,8.072347756107195e-11
RBCK1,8.167746703774248e-11
PRSS27,8.226672492313014e-11
METTL1,8.247011471721714e-11
PLGRKT,8.260503339553464e-11
INO80D,8.265392870241947e-11
CGREF1,8.323991088291487e-11
ELF2,8.388157830611383e-11
PCSK1,8.425723887519572e-11
PPP3CC,8.432038927063483e-11
NCDN,8.53043948266141e-11
NOL3,8.59157641190041e-11
HMGCR,8.719633178453237e-11
PDCD4,8.765049264891137e-11
PTGFRN,8.823906212467444e-11
MXD4,8.890798119495389e-11
DEK,8.939020070946354e-11
TTLL7,8.94063408092393e-11
ICOS,8.943451819302357e-11
TBC1D20,8.947206914214868e-11
NAE1,8.955445966212543e-11
PAFAH1B1,8.969299173416505e-11
TM9SF2,8.985209976768434e-11
C1orf116,9.028516521540164e-11
PEF1,9.037997414750237e-11
HSPE1,9.100521998583474e-11
TNFRSF10A,9.110182281671117e-11
KCTD6,9.11944313727626e-11
PEX11B,9.24985543914087e-11
MYO5C,9.335308583245192e-11
LPIN2,9.458223734201721e-11
ENTPD3,9.515708602198603e-11
PKM,9.526191773605119e-11
MTX3,9.526680579648141e-11
RARG,9.557425844553812e-11
NTHL1,9.621321258156916e-11
RAB13,9.716273616174942e-11
TRNAU1AP,9.723615432685112e-11
PPP4C,9.745601939802908e-11
UNK,9.866686863524738e-11
MISP,9.903755428298969e-11
AAGAB,9.944469752807887e-11
ARMC9,9.999980440481544e-11
PMPCB,1.0010801878120547e-10
LYRM9,1.0021689205935212e-10
CCSAP,1.0192696569142907e-10
RELT,1.0267236056838056e-10
MIF4GD,1.0274969394480297e-10
KIF16B,1.0496307690661063e-10
LRCH3,1.0562168021695949e-10
FBXW11,1.0562756644989677e-10
FTH1,1.0833823186243799e-10
UXS1,1.0900859334088205e-10
SNX29,1.1015801390867781e-10
UNC13B,1.1093071412552831e-10
SLC52A2,1.1176906479635948e-10
TRIM2,1.1250053550731532e-10
PHF10,1.1305303524106423e-10
BOLA3,1.1359633257983593e-10
PSPC1,1.140515749841097e-10
PDK1,1.1465361598263677e-10
GPX1,1.1509425699700669e-10
CPNE8,1.1616943104148337e-10
FNDC3A,1.1651946576024621e-10
IGF2R,1.1677767575130333e-10
CCNJL,1.1768865200142632e-10
PARVG,1.1800823287023387e-10
MKLN1,1.1998139732911506e-10
STX17,1.2024436842036246e-10
TGDS,1.2088242039907427e-10
MAP1LC3A,1.2150325363992861e-10
TSPAN33,1.2368764719091836e-10
VIPR1,1.237954245303784e-10
RHPN1,1.2411549936688989e-10
TBC1D4,1.246530160829358e-10
GALNT11,1.258742838827109e-10
RAI1,1.259436915383983e-10
FBXO16,1.2770630742480503e-10
TMC7,1.3068171707847068e-10
STX18,1.318015838133491e-10
YARS2,1.319032639728328e-10
IL1A,1.3248638745893703e-10
PRKCI,1.3278374928317307e-10
SDC3,1.328001136907478e-10
MRPS27,1.3295939057366523e-10
PWP2,1.341892222898072e-10
INPP5D,1.3471866972968505e-10
VAV3,1.354821485359861e-10
SRSF10,1.361845921729647e-10
CHRNA1,1.3724963680585707e-10
MMGT1,1.3837691431361096e-10
ST8SIA4,1.3851205976509171e-10
NR4A2,1.3904507742032642e-10
SPI1,1.3994470999832545e-10
EIF5B,1.401550076144731e-10
MAPRE1,1.408361590175917e-10
UFSP2,1.4136252438391657e-10
GLUD1,1.4171869220070467e-10
DHX9,1.41770427950022e-10
CARD8,1.439662281580466e-10
NUP98,1.441383311251312e-10
UBQLN1,1.4634066159934899e-10
RAD9A,1.46898412549345e-10
SH3BP4,1.4733576535048145e-10
ST6GALNAC1,1.47560817677049e-10
PLEKHH3,1.48146072296421e-10
ANKS3,1.4835632558821068e-10
C18orf21,1.4855744819331793e-10
DIS3,1.5318851217109332e-10
ABHD16A,1.534329445780169e-10
YDJC,1.5359155031812447e-10
RFC1,1.5492079533191035e-10
SLC35F5,1.5765664338256892e-10
DGUOK,1.5860852831541476e-10
JOSD2,1.5913719475262773e-10
RPE,1.6026958795781278e-10
TRIM47,1.6196529882339628e-10
HS3ST1,1.635744066888149e-10
DYNC2LI1,1.6464405955305315e-10
FAM98B,1.649981341452496e-10
PPIF,1.6500203392046764e-10
BRD4,1.6559856584628724e-10
PTPN2,1.6690006254901193e-10
KLHL28,1.6694626639709605e-10
ZBTB32,1.6717669462839676e-10
SERTAD2,1.6725151653358065e-10
SUCLG2,1.6943636248491053e-10
WDR59,1.7213514552554442e-10
CSE1L,1.7380020873534356e-10
DPP9,1.7494757558784053e-10
CMC2,1.7782774456299413e-10
BLM,1.825731076249813e-10
LRRC8C,1.835454168204171e-10
INSIG2,1.8360764578355514e-10
NEMF,1.9110576747078723e-10
CEP104,1.9377708260613656e-10
THRB,1.9451188203369313e-10
DAO,1.958947993865551e-10
MYO1F,1.9603287009575227e-10
ZNF516,1.9827514594943216e-10
COPZ1,1.9964782041044277e-10
CHMP7,1.9967731799547066e-10
KANK1,2.0043125331916528e-10
GATAD2A,2.0051504500418434e-10
FAM111B,2.0056448260888862e-10
ANP32B,2.0196753860770523e-10
ITGB8,2.021679005914247e-10
CADPS2,2.022481055045423e-10
CCDC120,2.0227265311222663e-10
DAP3,2.0572530813709369e-10
SPATA13,2.0696819043785072e-10
CHEK1,2.0729392176208783e-10
PPM1D,2.0952296961407807e-10
CDK5RAP3,2.1139313895630792e-10
PDE4DIP,2.1168252804693224e-10
ISCA1,2.127647629870054e-10
DPM2,2.1545198198385587e-10
ACSS2,2.1628221356618673e-10
PRF1,2.1630627226491027e-10
TUBAL3,2.165876661294344e-10
CENPW,2.1720083425022693e-10
CUEDC2,2.1831385169547865e-10
GTF2I,2.224964380782503e-10
ATG13,2.2300686838307604e-10
BPTF,2.2366645207615734e-10
MANBAL,2.2368955202213027e-10
WNT5B,2.2528933372252505e-10
CYB5R3,2.2876871414485879e-10
LIG3,2.2886682361376568e-10
MGRN1,2.3212918899226203e-10
PGM2,2.377725722511704e-10
IQGAP1,2.3787663687545984e-10
IFNLR1,2.4245113382476357e-10
RPUSD4,2.4296700900917794e-10
SLC15A3,2.44400963488748e-10
ZBTB24,2.4515272656843134e-10
TXNL4A,2.466197874289945e-10
CYBB,2.4740956368358735e-10
PDK4,2.502861641190961e-10
DOCK2,2.5171882061087945e-10
DTWD1,2.524755220816022e-10
SLC6A19,2.555993204144693e-10
SMARCD2,2.601671526980075e-10
MUC20,2.603039309954831e-10
SDHAF2,2.6090440028438785e-10
GNL3,2.634176857931645e-10
RNASE6,2.641225744920448e-10
AGA,2.6576556745496876e-10
ARSB,2.6695649815475284e-10
SRR,2.685463257311082e-10
IMPDH1,2.7501551793751623e-10
CAMK4,2.7723873924861254e-10
MTHFD1,2.8412385295310865e-10
SNX10,2.8423378066858496e-10
HIGD2A,2.8954830811248336e-10
EID3,2.9174225534205126e-10
CIZ1,2.9611728099198383e-10
FBXO9,2.994386313258211e-10
PPP3CB,3.002361962860141e-10
GOLGA4,3.0039808485322943e-10
POLDIP3,3.0099856295964535e-10
FBXO44,3.0179297297867686e-10
SLC43A1,3.029614411291231e-10
EP300,3.0394653672504814e-10
GID8,3.0666593484915206e-10
PARD6A,3.0789946599337897e-10
CSDE1,3.0817606125064584e-10
NFATC3,3.0902946645308374e-10
CYB5R1,3.126945195692185e-10
CDK2,3.162276859064833e-10
TNIP2,3.2227460545788656e-10
BANP,3.2972309917157456e-10
MPP3,3.3763619626043134e-10
RNGTT,3.3973071181395645e-10
UROS,3.399405732814827e-10
TMEM200A,3.4314169277098825e-10
DDX52,3.448464715624402e-10
NAP1L4,3.4506644866307697e-10
SLC30A6,3.51080683702965e-10
GABARAPL1,3.5442696872676036e-10
SNX8,3.5721076448035143e-10
CDYL,3.5821342274545116e-10
CCL26,3.6463581325188836e-10
PEMT,3.6553136086544654e-10
AGAP6,3.670413250300188e-10
UAP1,3.702838555440444e-10
RMDN3,3.729165091232131e-10
IL15,3.754236147985108e-10
ZNF770,3.7710573893812933e-10
ADM2,3.7979880565228467e-10
ATP13A3,3.824222145766772e-10
CDK17,3.831616092206986e-10
CWC27,3.833689114507078e-10
NCOA1,3.835556243532863e-10
SRGAP2C,3.8517747880081336e-10
UVRAG,3.8570819599162477e-10
WFDC2,3.8759917162953754e-10
SCYL3,3.9031740478156287e-10
BLVRA,3.9071726849555896e-10
NLRP1,3.915631139872615e-10
DEF6,3.9175498578464574e-10
MRGBP,3.9250235014267487e-10
MIOS,3.965509758504154e-10
ANAPC10,3.968344683939088e-10
WDR36,4.002197832737736e-10
DNTTIP1,4.0576997291395935e-10
PGP,4.101426256796793e-10
GZMM,4.112108462848756e-10
MPEG1,4.1373248709079204e-10
CHURC1,4.180727192076769e-10
PCMTD2,4.1894201451601645e-10
OARD1,4.242430260331915e-10
NFIA,4.247486452720284e-10
PATL1,4.2744002047370603e-10
SMARCE1,4.3005505574149706e-10
CHGA,4.3265350062774983e-10
SMYD2,4.332281772707684e-10
TEX30,4.365838881229875e-10
RLIM,4.3792611772097947e-10
ACO2,4.379286948906525e-10
ZAP70,4.3909872831261425e-10
WDFY4,4.40112549924722e-10
LAIR2,4.40112549924722e-10
BCL11A,4.4443639754468114e-10
RASEF,4.4799422164717303e-10
PKNOX1,4.491467546669508e-10
NAPG,4.5537288259462266e-10
DCLRE1B,4.560874993666316e-10
RPS6KB1,4.5623454092735564e-10
ACTL6A,4.5714667712106495e-10
RPRD1A,4.576541596598911e-10
RBMX2,4.6215826508449925e-10
DXO,4.6327582562891616e-10
GOLGA3,4.642517136784913e-10
TMEM222,4.682753681266215e-10
TULP4,4.758551217738501e-10
WIPI1,4.789223555432322e-10
ARF6,4.801961775107637e-10
GSTA1,4.820699386787446e-10
PRKCE,4.935087964459194e-10
TRAPPC13,4.988812653461306e-10
HSPA1L,4.997488061157267e-10
ITM2A,5.005888473918739e-10
CCT3,5.007962961957253e-10
CA8,5.041101688896133e-10
CD99,5.135515082672358e-10
RPS8,5.182065301699557e-10
RARS2,5.284377675449763e-10
BCCIP,5.301742514238498e-10
POLR2D,5.367750025460658e-10
EXPH5,5.416853270284238e-10
KRTAP13-2,5.490958396105239e-10
UBA7,5.579069805171185e-10
SPIN4,5.590752530301471e-10
CBLC,5.617515862066935e-10
AEBP2,5.69966516419864e-10
YEATS4,5.751011312457112e-10
GULP1,5.763200650660028e-10
LZTS2,5.780308142667483e-10
FERMT3,5.80100626058225e-10
RRP1B,5.870557966968235e-10
POLR3D,5.889182749133181e-10
HPS3,5.916569371409325e-10
PROX1,6.135763123514266e-10
SGSM2,6.144918375218599e-10
ITGA1,6.158102792365013e-10
EIF1AX,6.196997196747924e-10
CCDC43,6.202405001394844e-10
PRKAA1,6.204155583064465e-10
IL2RG,6.204533566254842e-10
DNAAF2,6.394775389531013e-10
USP24,6.509172735495828e-10
COG6,6.639785990077265e-10
MDH2,6.680639430493394e-10
STRIP1,6.681658354810215e-10
CREBBP,6.769605840465931e-10
IFI44L,6.789770937402128e-10
LTA4H,6.793353979057048e-10
NAA15,6.793427072228221e-10
REXO4,6.805360821819856e-10
ANGPT2,6.858115541233289e-10
CRLS1,6.907226556561278e-10
JMY,6.911312632374933e-10
UBA3,6.983391229902305e-10
AK6,7.013925874432592e-10
ADAMTS9,7.042753658981376e-10
BIN3,7.046988967497002e-10
RAB23,7.078486335219995e-10
GEMIN6,7.118922901227505e-10
DSE,7.168635949756052e-10
CD86,7.180592075892266e-10
PRCP,7.203681685923876e-10
MPZL1,7.215193822014326e-10
TIMM10B,7.231753919906436e-10
PISD,7.300373239183509e-10
HERPUD2,7.443984472285193e-10
IFT43,7.494724488731756e-10
MFAP1,7.520773895638552e-10
PTGES3,7.567097225811445e-10
IPO9,7.64028619477968e-10
IL7R,7.684057939527002e-10
ZNF354A,7.71023630895592e-10
SLC44A4,7.718379635679309e-10
KRR1,7.740186890011249e-10
XPO1,7.749563483388746e-10
MDH1,7.879052210403702e-10
RIT1,7.906554174971884e-10
RYK,8.059276896756433e-10
DUSP7,8.087725320328772e-10
FA2H,8.118958665422654e-10
AP1G2,8.143229802668118e-10
PPID,8.216043431123079e-10
IL7,8.227746798471492e-10
PLD3,8.232393160781111e-10
CDK5,8.257584017277969e-10
LMCD1,8.302634233516907e-10
MRPL44,8.331654158258784e-10
EIF4E,8.367697285389685e-10
MDM2,8.414702499287717e-10
SATB2,8.422137127957442e-10
ETV3,8.728186353661664e-10
WWC1,8.729458718056067e-10
SREBF1,8.775109608816256e-10
POLR1E,8.807457343272588e-10
BOD1L1,8.92410496425862e-10
DNMT3A,9.020932473684909e-10
SPG11,9.061605427322883e-10
ZBTB1,9.065584737606236e-10
PGAM1,9.152696875836696e-10
FBXO28,9.174619244152739e-10
MRI1,9.180585947885864e-10
FFAR2,9.189354085197911e-10
STX7,9.207885528398066e-10
TRAPPC1,9.432708322311422e-10
ADAM17,9.479223549056375e-10
USP10,9.615307124432274e-10
PARP12,9.676090848191863e-10
PRMT5,9.719393403323209e-10
PCBP4,9.760425348768368e-10
EIF3B,9.794355438989146e-10
NDUFS2,9.829526279592e-10
SMIM1,9.88482138261191e-10
NKRF,9.91354754868218e-10
SNX27,9.973068842467354e-10
NUP62,1.000112771802115e-09
FARP1,1.0029899716775334e-09
NIPBL,1.0039853071178721e-09
CAMSAP1,1.005508846852297e-09
EPB41L3,1.0170323823765993e-09
PHF6,1.0289898148608906e-09
GNB4,1.0328524922633514e-09
RPS27,1.0344239087402998e-09
CC2D1A,1.0439724127058853e-09
DTHD1,1.0477661676181865e-09
MUC5AC,1.0507706992721537e-09
TINF2,1.052046694756221e-09
ITPKB,1.0563425867259309e-09
TP53RK,1.0616202703943251e-09
HSP90AA1,1.0628145243836054e-09
CYP2C18,1.063288597831807e-09
DHX30,1.068254771068801e-09
KLHL25,1.0734875011575533e-09
CDCA4,1.0875205746405476e-09
CCNT1,1.0893505216544868e-09
PTOV1,1.1051297518607347e-09
PPIH,1.1056019542542912e-09
TMEM181,1.1118586006091597e-09
EIF2AK1,1.1140595119479616e-09
TSNAX,1.1260665720442063e-09
ATF2,1.1326273622474674e-09
MTFR1,1.1370031786405235e-09
SUPT20H,1.1471231337966338e-09
NDUFAF6,1.1483110869114404e-09
USH1C,1.1507153151838163e-09
DUS1L,1.1544249727372852e-09
GJB1,1.157975665920835e-09
GSTM4,1.1667710674680172e-09
RPA3,1.1680629160658469e-09
SMAD4,1.1902385644856015e-09
LGMN,1.210707866052381e-09
DACT1,1.2131932455063662e-09
TRIM5,1.2159028013682185e-09
JAKMIP1,1.216328227281584e-09
PIGF,1.2170681358901515e-09
RNF216,1.217724796420687e-09
PIAS2,1.2198345190792398e-09
AFMID,1.2231181456869352e-09
ELMO2,1.2240177156084417e-09
ZNF148,1.2264968865346683e-09
XPNPEP2,1.2370275623469096e-09
MMADHC,1.2449058865355381e-09
ERP29,1.2456598045047253e-09
PRKD2,1.252229644075781e-09
NKG7,1.284196313455502e-09
ZMAT3,1.293513601766135e-09
MOGAT2,1.2947497923878078e-09
BCLAF1,1.3041185224263158e-09
LYRM2,1.3118212095613183e-09
MYB,1.3137623287471657e-09
MRPL20,1.3174522777459259e-09
CCDC57,1.3202854230016871e-09
WDR3,1.3220481322353877e-09
EPB41L4B,1.3283626034597633e-09
SHPRH,1.3413149359129997e-09
SMIM15,1.3502208484120237e-09
AMACR,1.3564523937352287e-09
SLC41A1,1.3621486127980639e-09
SIK3,1.3689411815356462e-09
B3GALT6,1.3870173167480152e-09
AQP7,1.3885258549503779e-09
FAM210B,1.3906278846094394e-09
CNP,1.3906326090372255e-09
AIMP2,1.4034991625851151e-09
FAM83D,1.4091890223087326e-09
CERS5,1.418515248584588e-09
PICALM,1.4258729153625731e-09
FKBP7,1.4296557893144923e-09
PSMG2,1.4349030513444547e-09
VEGFA,1.463083550527161e-09
ARID3B,1.4666211348539526e-09
IL20RA,1.4746396158462023e-09
ACACA,1.482705179946978e-09
NFKB1,1.4863375844914197e-09
FGD2,1.4933597996325799e-09
DCTN5,1.4950005816823404e-09
SNN,1.5056367271476946e-09
SEC24C,1.5076702458906737e-09
TGS1,1.5174202596055513e-09
ZC3H7B,1.5494220566831769e-09
TP53,1.5602100802646762e-09
BCAT2,1.5854007026153591e-09
GNL2,1.5859337318760911e-09
RCL1,1.5902008220255915e-09
COIL,1.6185480626274503e-09
TMED1,1.652745329966286e-09
DNAL1,1.6644285991829097e-09
CRYM,1.6809962453842345e-09
SSBP4,1.6824489717920952e-09
WDR83OS,1.6867810682908542e-09
MPV17L2,1.6884895874627726e-09
CLIC3,1.700996621385849e-09
ARNT,1.7316774611150405e-09
MAK16,1.7373313085030085e-09
CDC23,1.7432248780299564e-09
ARRDC1,1.7464949031256903e-09
SSX2IP,1.7551509781465562e-09
TFAM,1.7669772391887692e-09
AGPAT2,1.7815269475076912e-09
APLP2,1.783194340448578e-09
SPR,1.8002334721686656e-09
ENTPD4,1.80222569901238e-09
PEX13,1.8094790552530865e-09
KANSL1L,1.8165678180973083e-09
NRBF2,1.8292619630321242e-09
GPC4,1.8328435653246573e-09
THOC1,1.839159412062058e-09
APOL4,1.8919834104609865e-09
MRPL49,1.8986303934955064e-09
MGA,1.9166670337658716e-09
AVL9,1.9277263251756687e-09
ARHGAP25,1.9752652836520214e-09
LENG8,1.984104322979206e-09
NAP1L5,1.9920393269826467e-09
SMO,2.054005767757023e-09
SSU72,2.0842680009319096e-09
EDIL3,2.085239519843584e-09
DHX58,2.095586069014041e-09
EXOSC3,2.1097063063269744e-09
MICB,2.1116226243213606e-09
SP1,2.121140603676911e-09
DCK,2.12923513373978e-09
GIT2,2.1392483038689304e-09
TULP3,2.1413409912798983e-09
RAB30,2.177394090216162e-09
