Gene,P-value
TMF1,5.353270364063833e-41
REXO2,5.570766022932368e-41
SHISA5,5.86416191333682e-41
SLC38A1,6.203576271377379e-41
GUCA2B,6.302867707275578e-41
ST3GAL1,8.099706311389111e-41
TMEM263,8.56660467321737e-41
ATP2C1,9.080607108341501e-41
NLRC5,9.996080275335238e-41
RBPJ,1.0049906779263586e-40
TMED2,1.0134596156165443e-40
PRKCB,1.0225967187441196e-40
ANKRD36C,1.0581420831623203e-40
EDEM1,1.0938464557195515e-40
EIF3M,1.4660349827429924e-40
NAA38,1.7320636008207164e-40
JUND,1.74604021228916e-40
SPNS2,1.7707801482919134e-40
STS,1.883690724824735e-40
IDH2,2.30372326214488e-40
B4GALNT3,2.336935662757799e-40
S100A4,2.473497810735924e-40
CXCR4,2.759905522232267e-40
PMP22,2.9418304890821965e-40
FIS1,3.1844725435664082e-40
RPL4,3.5252266169977466e-40
FADS2,4.210033990723066e-40
IFI27L2,4.65534329505933e-40
CHD2,4.668958220392943e-40
TRAM1,4.999567642067868e-40
CACYBP,5.320788992805203e-40
SBNO2,5.85422246359865e-40
JUNB,6.077770703896992e-40
NMI,7.160722097712418e-40
MBP,7.57381892568015e-40
PRR15,8.19854676645338e-40
CDKN2B,9.423847614076324e-40
LSM1,1.545035651354374e-39
PFKP,1.6662699896112004e-39
ALDH1A2,1.7955583899476977e-39
CASP5,2.0580604575701636e-39
PHPT1,2.245449822034734e-39
NDUFS7,2.297524702878886e-39
SERPINB9,2.3807371301515966e-39
PSMB10,2.9981100326107885e-39
MYO1B,3.362284039516993e-39
CYBA,3.46492436609302e-39
LEFTY1,3.6965043347662494e-39
MFHAS1,3.868894749400233e-39
PLEKHJ1,4.24886815960181e-39
NDUFS8,5.641936110171182e-39
PDE4C,6.593615311767489e-39
TNFRSF1B,8.207594150519892e-39
SCAF11,8.474165450787267e-39
HDAC7,8.575610104061671e-39
KLF4,8.838374475391306e-39
PNRC1,9.5386490706449e-39
PAK2,9.788018331461351e-39
MS4A12,1.179311890666177e-38
MCFD2,1.1935541606347764e-38
PPARG,1.1979381395291723e-38
CHPF,1.4223000491241817e-38
TSTD1,1.5764928011298646e-38
BLOC1S6,1.6269585356625964e-38
SELL,1.6807171647936566e-38
SGMS1,1.8954959243340355e-38
ECHDC1,2.4096045498076054e-38
MGST3,2.868542749601542e-38
COPB2,2.992980619933598e-38
MET,3.198998354024999e-38
BAIAP2L1,3.4142896542596507e-38
SPCS3,3.5382241712888487e-38
CXCL8,3.5489743792247175e-38
CD79B,3.8428628911117984e-38
ENTPD5,3.945494390127771e-38
DTX3L,3.966575465920665e-38
ABHD2,4.944973831322563e-38
CYSTM1,5.59162692955258e-38
SRPRB,6.054347870835339e-38
CCDC186,6.1484891611785e-38
SSR2,7.52381396819847e-38
CNPY3,7.731119587796938e-38
KRT7,8.004990331371905e-38
KRT20,8.696741291419636e-38
STOM,8.733652205087092e-38
CBR3,8.872098334612042e-38
ACSF2,9.128254318099462e-38
TBC1D2B,9.790175882607577e-38
UFM1,1.0288808076785479e-37
TXNDC17,1.1560721574890712e-37
ATP10B,1.1694060744478886e-37
TAPBPL,1.2041320871870123e-37
PGM3,1.5156634804167355e-37
HM13,1.585827330942483e-37
SLC7A1,1.6359497492219383e-37
VPREB3,1.8670360112416388e-37
THBS1,2.0363971256625276e-37
GBP3,2.047657752764953e-37
BASP1,2.1240142730947365e-37
MCL1,2.459681434319361e-37
ACP5,2.5950763387395277e-37
TNFSF10,2.6001916432278326e-37
PITPNC1,2.701566362030278e-37
INPP1,2.8656052004565066e-37
STX11,3.1853763441995465e-37
BTNL3,3.19903703772198e-37
DIAPH1,3.5095889307084135e-37
GLUL,3.6259395953882546e-37
CD6,5.060912378427016e-37
SLC12A2,6.6833822499428175e-37
CDX2,6.789841302668839e-37
ARAP2,7.542536024155257e-37
ARL5A,8.931564459041581e-37
MAGEF1,9.4727507277527e-37
LSM10,1.0062055137183342e-36
TUSC3,1.3006779323741876e-36
ABCC5,1.469365003075887e-36
CASP10,1.519755782939166e-36
JUN,1.6825222070924854e-36
ITGB1BP1,1.777234530552326e-36
SRM,2.144466386049241e-36
MEAF6,2.2125601971014548e-36
C17orf67,2.224338889171399e-36
CDC42SE2,2.5151194595240043e-36
UBE2D3,3.1831868302127364e-36
PDIA4,3.202091876831736e-36
RCN2,3.359376148723552e-36
CLDN8,3.9285651598816594e-36
GPR183,3.97998277464212e-36
EIF3L,4.190345697869485e-36
RALGPS2,4.696828080143842e-36
SLC7A11,4.736790875998682e-36
SPG21,4.789813448088182e-36
UBE2H,4.8405467067010764e-36
NXT1,5.366376751749221e-36
TSPAN7,5.462042076678195e-36
SNX9,5.7578732373537265e-36
HEXA,7.296500847947081e-36
NSD1,7.427189858288637e-36
BCAP29,7.516708066207061e-36
FBXL5,1.01432455489425e-35
NOX1,1.0564057125897561e-35
BFAR,1.1524052431971665e-35
QTRT1,1.596769884947093e-35
FERMT1,2.1052119388738794e-35
PFKL,2.1625839068928373e-35
GK,2.2682926290276933e-35
ITGB2,2.2983465140536507e-35
LIMS1,2.7753740603155317e-35
LMNA,2.8762250593731055e-35
HSPB3,2.9305951505471546e-35
RASSF5,3.5422718441056343e-35
HERC4,3.7717920221939527e-35
BET1,3.952472957714903e-35
CCL28,3.9788016345310227e-35
RPS28,4.3070149400325545e-35
RPS18,4.4968500015390936e-35
PLIN3,4.5494244551341766e-35
CD2,5.455153132381813e-35
NKTR,7.879210725695309e-35
NEK6,8.323364265711819e-35
FBXO7,9.207535843067677e-35
RPL38,9.423484745463756e-35
PFKFB3,1.1011627329794537e-34
DDX3Y,1.2262587694541725e-34
TCEA3,1.2359131039136401e-34
CKMT1A,1.2559744677925671e-34
DBI,1.4482965748406146e-34
PAM,1.5345856347266299e-34
POU2F2,1.715970270145133e-34
CLDN23,1.753335952740594e-34
MEP1A,1.7610523606637124e-34
YIPF5,1.766141545557641e-34
LDHA,1.8016821564627665e-34
PLEC,2.3696805830027995e-34
PRSS3,2.5695371695188397e-34
IDS,2.6332927831704103e-34
CD27,2.645596303486687e-34
SERP1,2.7830665329980846e-34
AVPI1,3.1214477830546432e-34
TLE1,3.493649762153096e-34
NDUFS5,3.691033111234794e-34
PRRC2C,3.755054437951375e-34
ERLEC1,3.853259920352505e-34
AKAP13,3.940313299908419e-34
TRIM15,3.983293424991165e-34
TIMM13,4.558287636968414e-34
PRDX4,4.703732320977897e-34
RGCC,5.408207601863233e-34
TCIRG1,5.991270324053047e-34
MARCKS,6.083694669619606e-34
KCNN4,6.879651882451981e-34
LMF2,6.978042420652823e-34
CTSA,7.145788372484081e-34
SEL1L3,7.1584126415595e-34
SLA,7.821748211283754e-34
SLC4A4,8.062035704589005e-34
MLPH,8.159888489644457e-34
KYNU,8.95110925705702e-34
DCUN1D5,9.314306565769746e-34
STIM2,1.0326597900002524e-33
HMGN1,1.0368491169449442e-33
YPEL5,1.051389164456455e-33
CAMLG,1.074189431493236e-33
RAB29,1.1213539182869642e-33
UBE2F,1.1620634112918657e-33
RNASE4,1.2854727678226792e-33
PRNP,1.4076013025560642e-33
ADAM19,1.517555811650548e-33
FNBP1,1.6422838260942102e-33
RAN,1.6976568203919018e-33
PTPMT1,1.721167936468498e-33
EEF1A1,1.7965735719515377e-33
SLFN5,1.9954047392927407e-33
OAF,2.108121750468706e-33
IFNGR1,2.5020762397997284e-33
RARRES1,2.5554308540508172e-33
PPP3CA,2.6151932124213505e-33
SGK2,2.6962973159110155e-33
