gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
CCDC24,10,-0.5723094787608534,0.21410959229356916,-0.9919642796562489,-0.15265467786545783,0.007518196689006953,0.3453472415831477,0.7801320272493931,down,2,8,0.8,0.109375,0.021532270655692774
MIR1247,7,-0.9505684644043048,0.3556252827590826,-1.6475940186121067,-0.2535429101965029,0.0075187541303233674,0.7372932076759134,0.8620591795612704,down,1,6,0.8571428571428571,0.125,0.021532270655692774
FOXR2,7,-0.38234503719034774,0.1430548057851435,-0.662732456529229,-0.10195761785146645,0.007523965375765484,0.0275250178352683,0.30991081131969533,down,1,6,0.8571428571428571,0.125,0.021544724788170284
SLC39A10,10,0.5884486243512861,0.22025225153621722,0.15675421134030032,1.020143037362272,0.007546738656647833,0.3747320851763648,0.8445266375968048,up,8,2,0.8,0.109375,0.021604982624538107
ZNF169,9,-0.7208952578256828,0.2698910527806981,-1.2498817212758508,-0.19190879437551456,0.007561207788371891,0.5337380525433665,0.8387522432981729,down,1,8,0.8888888888888888,0.0390625,0.02164392480363449
EMC9,10,-0.550008133536265,0.20598538961641666,-0.9537394971844416,-0.14627676988808835,0.007582148453013617,0.3166362222478657,0.8003197110744067,down,2,8,0.8,0.109375,0.021698894547454828
HPN,9,0.4170709623306902,0.15622560708977257,0.11086877243473597,0.7232731522266445,0.00759256162096279,0.11361430769318091,0.5380358780336432,up,8,1,0.8888888888888888,0.0390625,0.02172371799945842
CYP3A7-CYP3A51P,6,-1.126140381688803,0.42186492584676744,-1.952995636348467,-0.2992851270291388,0.007597930830735187,0.8948022050888459,0.8542743796543723,down,1,5,0.8333333333333334,0.21875,0.02173414780453288
CNTFR,10,-1.525323570452024,0.5714332876128436,-2.6453328141731975,-0.40531432673085055,0.007601083452273873,3.120795819098968,0.9565970753282411,down,0,10,1.0,0.001953125,0.02174063037797729
OFD1,10,-0.480073022138243,0.1798721631927389,-0.8326224619960112,-0.12752358228047472,0.007608473086485423,0.22107247597952592,0.7516929340484015,down,2,8,0.8,0.109375,0.021756784131581084
PLBD1,10,0.45135877764195986,0.16911671762732697,0.119890011092399,0.7828275441915207,0.0076095857109717635,0.1854527498351221,0.6936972026895516,up,9,1,0.9,0.021484375,0.021757475179785466
HTT,10,-0.22164731145363195,0.08305517454821207,-0.3844354535681276,-0.05885916933913629,0.007615097764501082,5.9608609865491405e-06,0.0,down,2,8,0.8,0.109375,0.021770743563172525
RPL23AP87,5,0.45200621016667836,0.16939270526081807,0.11999650785547494,0.7840159124778818,0.007621518274649724,0.08115244783438545,0.5992722542677694,up,5,0,1.0,0.0625,0.021784113045655005
KANSL1-AS1,8,-0.4491822077565222,0.1683687098740673,-0.779184879109694,-0.11917953640335027,0.007633867544364897,0.1254766757231733,0.5966398577789619,down,1,7,0.875,0.0703125,0.021814418339713964
ZRANB2-AS1,5,-0.5027939451161674,0.18852441225019492,-0.8723017931265494,-0.13328609710578532,0.007653247192635887,0.03453256073657863,0.1463282251742476,down,1,4,0.8,0.375,0.02186729590749595
MRPL4,10,-0.22160958274020298,0.08310856011224163,-0.3845023605601966,-0.05871680492020939,0.007664394048214102,5.458725833322675e-06,0.03443273728577251,down,2,8,0.8,0.109375,0.021894136960370097
GSTA2,5,-0.9311483176385186,0.3492692364414083,-1.6157160210636787,-0.2465806142133583,0.0076761959264179625,0.5451715439221324,0.9046158577219723,down,0,5,1.0,0.0625,0.02192534306401179
NOP58,10,0.48260563266131173,0.1810339717225163,0.12777904808517976,0.8374322172374438,0.007679871915906918,0.22354631460793634,0.7122110555351021,up,8,2,0.8,0.109375,0.02193333489553798
CHML,10,-0.37143533892186675,0.13933517863355435,-0.6445322890436334,-0.09833838880010021,0.007681255217287413,0.10100820024294188,0.5958118737043743,down,2,8,0.8,0.109375,0.021934777844428082
CRADD,10,-0.6843537515918602,0.2567235947387924,-1.1875319972798932,-0.18117550590382703,0.007682317561403306,0.5452814827354642,0.8757482737073125,down,2,8,0.8,0.109375,0.021935304034908676
GOLGA8B,9,0.38971758813669916,0.14620331651847152,0.10315908776049498,0.6762760885129033,0.0076854155357770045,0.09849648976372567,0.5509320618918635,up,8,1,0.8888888888888888,0.0390625,0.021941641771342328
LINC00474,9,-0.348731970840866,0.13086471149262674,-0.6052268053664144,-0.0922371363153176,0.007702766752747781,0.05631129301404103,0.43096962522237325,down,1,8,0.8888888888888888,0.0390625,0.021986153593509177
LINGO3,7,-0.34995270569884374,0.1313377966267248,-0.6073747870872244,-0.09253062431046316,0.007709737443853029,0.00993739481380246,0.0,down,1,6,0.8571428571428571,0.125,0.02200353605448332
LINC00092,6,-0.3716424978664978,0.1394848269265276,-0.6450327586424919,-0.09825223709050368,0.007712723185595221,0.019949032311124024,0.11452768825255218,down,0,6,1.0,0.03125,0.022009542826062854
GLS,10,-0.8469141241322089,0.317900841948362,-1.4699997743509985,-0.22382847391341942,0.007719858803430992,0.8887308082755593,0.8987705943806996,down,2,8,0.8,0.109375,0.022025557006746653
SCARNA2,5,-0.5297981265711601,0.198922482873299,-0.9196861930028262,-0.13991006013949409,0.007736928722438889,0.05111298821050664,0.23643607970752506,down,1,4,0.8,0.375,0.022064619133362755
CD82,10,0.9527751776263644,0.3577377874554986,0.2516091142135871,1.6539412410391416,0.007737059801239948,1.151772458838255,0.8985137414775721,up,9,1,0.9,0.021484375,0.022064619133362755
LIMS2,10,0.41594307878636505,0.1561758790420198,0.10983835586400625,0.7220478017087238,0.007737860036462323,0.14673717413929738,0.6813423487677894,up,8,2,0.8,0.109375,0.022064619133362755
POLR2M,7,-0.3909119513498092,0.14677816689103312,-0.6785971584562341,-0.1032267442433843,0.007738206165781638,0.04762665283304498,0.3110976499469479,down,0,7,1.0,0.015625,0.022064619133362755
TMED2,10,0.6700750335668946,0.2516070749670941,0.17692516663139013,1.163224900502399,0.007740590090451531,0.5163781697908902,0.8603952998400644,up,9,1,0.9,0.021484375,0.02206889763177011
IFNL2,9,0.3991609543522569,0.14988615513676187,0.10538409028420365,0.6929378184203101,0.007742572993670979,0.09877514439356022,0.5127468061290454,up,8,1,0.8888888888888888,0.0390625,0.022072031947380433
MAML2,10,-0.9527884804067449,0.3578840250844548,-1.6542411695722765,-0.2513357912412134,0.007761264347385065,1.156337057255069,0.9163631148731664,down,1,9,0.9,0.021484375,0.02212026750279821
RYK,10,-0.3395618480014509,0.12757259524075917,-0.5896041346733389,-0.0895195613295629,0.0077743749881864855,0.07330816297723401,0.5073417548275596,down,2,8,0.8,0.109375,0.02215510627194691
FOXM1,10,0.7719257518669334,0.2900382391488514,0.2034508031351846,1.340400700598682,0.00778021224892405,0.720127713090478,0.9023096698747928,up,9,1,0.9,0.021484375,0.02216921206688396
PRCP,10,0.45311893264457065,0.17025958430864505,0.11941014739962635,0.7868277178895149,0.007782992687521634,0.18943120049571877,0.7437123505355268,up,8,2,0.8,0.109375,0.02217099578027963
SPINK1,10,0.4014878789404117,0.15086044515564248,0.10580140643535246,0.6971743514454709,0.007783500780315134,0.13079319430869327,0.6309621462341031,up,8,2,0.8,0.109375,0.02217099578027963
MIR194-2,6,-0.9897416771806845,0.3720162842082994,-1.7188935942289514,-0.26058976013241764,0.00780294899644596,0.6650999083509884,0.8273756662469259,down,1,5,0.8333333333333334,0.21875,0.022223859181417917
ITFG1,10,-0.29150816898851606,0.10957557124918782,-0.5062762886369242,-0.07674004934010795,0.007806203095205738,0.03774242892508043,0.26665836143123606,down,1,9,0.9,0.021484375,0.02223059274069021
EFCC1,10,0.4588180136398541,0.17247149806550466,0.12077387743146495,0.7968621498482432,0.007808171445098268,0.1966163635655936,0.7385810916475735,up,9,1,0.9,0.021484375,0.022231129572600847
SNW1,10,-0.3544649064946582,0.1332534208687908,-0.6156416113974882,-0.09328820159182827,0.007812183787881155,0.08579504145666476,0.5179327477832959,down,2,8,0.8,0.109375,0.022240018598867137
ZNF177,10,-0.48116183778999516,0.18090044116558013,-0.8357267024745322,-0.12659697310545814,0.007818341463585902,0.22420744586140945,0.7444638278574128,down,1,9,0.9,0.021484375,0.02225501231789419
CASD1,10,-0.6982340533940309,0.2625189549252993,-1.2127712050476176,-0.18369690174044428,0.007819932319755715,0.5689518152368174,0.8399028761414056,down,1,9,0.9,0.021484375,0.022257004589246614
TANGO6,10,0.4295634400188709,0.1615393363435656,0.11294634078548238,0.7461805392522595,0.007832927683751384,0.1610567794434251,0.6957200607519006,up,9,1,0.9,0.021484375,0.02229145209248044
SLC16A12-AS1,4,0.5836249491187275,0.21949203921177884,0.15342055226364099,1.0138293459738141,0.00783776084361161,6.134180601451021e-06,0.0,up,4,0,1.0,0.125,0.02230266586561814
GCKR,9,0.49161377741902923,0.18490748202393417,0.12919511265211825,0.8540324421859402,0.007844245599181942,0.1967792382006603,0.7283692688596425,up,8,1,0.8888888888888888,0.0390625,0.022318576231567664
ADAMTS13,10,-0.37692865806629616,0.1417790909107622,-0.6548156762513901,-0.09904163988120224,0.007847465623076337,0.10734691018471638,0.5974443189453644,down,1,9,0.9,0.021484375,0.02232519516342899
IL10RB-DT,6,0.787352325216364,0.2961756528848529,0.20684804556205227,1.3678566048706757,0.00785134573029188,0.36980027967435875,0.7709128284532107,up,6,0,1.0,0.03125,0.02233369024008443
RAB27B,10,0.5011503263029627,0.18854802168609167,0.13159620379822307,0.8707044488077025,0.007861865436031672,0.24887096942760373,0.7373142068141854,up,8,2,0.8,0.109375,0.0223600989862716
