gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
TOMM40L,10,4.544959380093593e-06,4.544959380093593e-05,0.9340426816476303,1.0,1.3701307184280589e-08,1.3701307184280589e-07,0.0019575453495537594,1.0,1.8806173339039197e-05
CDC27,9,5.100367341300696e-06,4.5903306071706267e-05,2.0257324887897325e-08,1.8231592399107592e-07,0.9355022856862615,1.0,0.0019736841462604034,1.1273351725794722e-05,1.0
RNF138,10,4.6394684538885986e-06,4.639468453888599e-05,0.9283915121265578,1.0,2.2443517768641832e-08,2.244351776864183e-07,0.0019891748826670573,1.0,2.6571635894712873e-05
COL3A1,10,4.642283962190843e-06,4.642283962190843e-05,1.1189208728746e-09,1.1189208728745999e-08,0.8883363924383141,1.0,0.0019891748826670573,1.231203856913489e-06,1.0
RRAS2,10,4.660719734313076e-06,4.660719734313076e-05,0.8776485309354197,1.0,9.15066304140724e-08,9.150663041407239e-07,0.0019936547890903244,1.0,7.0771737906314e-05
NCBP2AS2,10,4.671462699671129e-06,4.671462699671129e-05,0.9746002652437548,1.0,3.4957781443278656e-07,3.4957781443278657e-06,0.001994834353854436,1.0,0.000180429821949286
GPCPD1,10,4.690865037966945e-06,4.690865037966945e-05,7.770991886668151e-08,7.770991886668151e-07,0.90759673115919,1.0,0.001999701356884851,3.529584514924674e-05,1.0
MAST2,10,4.707269073171733e-06,4.707269073171733e-05,0.9098594978144539,1.0,1.4801584838092341e-08,1.4801584838092342e-07,0.0020005318408909912,1.0,1.9918145883348487e-05
INHBA,9,5.232032889190908e-06,4.708829600271817e-05,3.436926781510985e-09,3.093234103359887e-08,0.9522165740022164,1.0,0.0020005318408909912,2.7597171834297614e-06,1.0
ACADM,10,4.718460733882327e-06,4.718460733882326e-05,0.9935815366474794,1.0,2.0983622128771884e-06,2.0983622128771885e-05,0.0020012201628712123,1.0,0.0006635340055681652
FRMD1,10,4.727849271383793e-06,4.727849271383793e-05,0.9541494746580288,1.0,8.917766249956633e-07,8.917766249956632e-06,0.0020018034347192974,1.0,0.0003570107671316773
PCDH17,10,4.770539769261393e-06,4.7705397692613926e-05,5.605619321399862e-09,5.605619321399862e-08,0.9736498713684816,1.0,0.0020113931503723667,4.431454945186391e-06,1.0
CTSH,10,4.7734215443126756e-06,4.773421544312676e-05,1.8515794273756753e-08,1.8515794273756754e-07,0.9689305303037447,1.0,0.0020113931503723667,1.1295356171028463e-05,1.0
MLYCD,10,4.7746532891830325e-06,4.7746532891830326e-05,0.9114485948636034,1.0,2.467398836588219e-08,2.467398836588219e-07,0.0020113931503723667,1.0,2.840464992479737e-05
C1R,10,4.786157784676456e-06,4.786157784676456e-05,4.328438600330149e-09,4.328438600330149e-08,0.9069612584692717,1.0,0.002012617940078901,3.616345306851086e-06,1.0
GTF2E2,10,4.7936738895438375e-06,4.7936738895438375e-05,2.4149949743271867e-09,2.4149949743271866e-08,0.9460083594959079,1.0,0.002012617940078901,2.2765656397610357e-06,1.0
ABCB1,10,4.8090848972713495e-06,4.8090848972713495e-05,0.97950700525903,1.0,2.3150782256255697e-08,2.3150782256255696e-07,0.0020157005003143555,1.0,2.7151628710963544e-05
ARHGAP42,8,6.055531678263557e-06,4.844425342610845e-05,0.968842361391976,1.0,3.52355592253886e-07,2.818844738031088e-06,0.002027112051654297,1.0,0.00015408656542834705
BTN3A2,10,4.877132801585488e-06,4.877132801585488e-05,1.169759603724759e-09,1.1697596037247589e-08,0.8011066014965696,1.0,0.0020373855270302186,1.2705115069847044e-06,1.0
BMP3,10,5.040044761298717e-06,5.0400447612987174e-05,0.9537264168423754,1.0,3.388520030830159e-07,3.388520030830159e-06,0.002101925846110238,1.0,0.00017671945488552862
ZNFX1,10,5.057077205652737e-06,5.0570772056527364e-05,2.5443554525625777e-09,2.5443554525625775e-08,0.9523949744664529,1.0,0.002103915026376569,2.362845485519173e-06,1.0
USP7,10,5.07088534635605e-06,5.07088534635605e-05,0.8618336447472753,1.0,1.0199308605512346e-07,1.0199308605512345e-06,0.002103915026376569,1.0,7.56050232267964e-05
CASP5,10,5.077087052673309e-06,5.077087052673309e-05,8.364539121188101e-10,8.364539121188102e-09,0.9893421273095215,1.0,0.002103915026376569,9.764231391887849e-07,1.0
MMRN2,9,5.642780784085109e-06,5.078502705676598e-05,3.0523813962202294e-09,2.7471432565982066e-08,0.7520306806684366,1.0,0.002103915026376569,2.4955049342938107e-06,1.0
CST7,10,5.1255748653903554e-06,5.1255748653903556e-05,3.835523086528999e-09,3.835523086528999e-08,0.88146476182594,1.0,0.0021199004257006038,3.226101085002725e-06,1.0
