dataset,library,Term,ES,NES,NOM p-val,FDR q-val,gene_set_size,n_leading_edge,Lead_genes,rank
GSE75214,Reactome_2022,Non-integrin membrane-ECM Interactions R-HSA-3000171,0.6094542809838274,2.2024768479546277,0.0,0.00011013953064418808,41,25,NTN4;AGRN;SDC3;DAG1;ACTN1;HSPG2;SDC1;LAMC1;LAMA5;ITGB4;TGFB1;ITGB3;THBS1;LAMA4;SDC4;LAMB1;DDR2;SDC2;ITGA6;CASK;DDR1;NRXN1;TRAPPC4;LAMA2;DMD,41
GSE75214,Reactome_2022,YAP1- And WWTR1 (TAZ)-stimulated Gene Expression R-HSA-2032785,0.760919686872443,2.195236253200001,0.0,0.00014226356041540958,15,8,TEAD3;TEAD2;YAP1;HIPK1;TEAD4;CCN2;WWTR1;TEAD1,42
GSE75214,Reactome_2022,Glycosaminoglycan Metabolism R-HSA-1630316,0.4878445206685937,2.157823204205715,0.0,0.00037936949444109224,120,51,B3GNT7;CHPF;B4GALT2;ST3GAL2;ST3GAL4;FMOD;HYAL2;CHPF2;XYLT2;AGRN;SDC3;SLC35B2;CHSY1;HS3ST1;CHST5;B4GALT3;ARSB;CD44;CHST14;HSPG2;UST;HEXA;SDC1;GPC6;PRELP;ST3GAL1;B3GNT3;B3GAT3;OGN;HS3ST3A1;CHST11;B3GALT6;HAS2;HYAL3;GPC4;B3GAT1;NAGLU;SDC4;HS3ST3B1;NDST2;BGN;GPC1;B4GALT7;ST3GAL3;CHST3;LYVE1;DCN;SDC2;SGSH;CSGALNACT1;IDUA,43
GSE75214,Reactome_2022,Selenoamino Acid Metabolism R-HSA-2408522,0.4873504987673699,2.1463547423456024,0.0,0.0004686329048978199,113,45,RPLP2;RPL23;RPSA;RPL27A;RPL3;RPS19;INMT;RPS2;RPL30;RPL18A;RPS11;RPS28;RPL13A;RPS25;RPL36;RPS20;RPS13;UBA52;RPL32;RPL27;RPL39;RPS8;RPL11;RPLP0;RPS15;RPL37A;RPS3;RPS21;RPL29;RPS12;RPL38;RPS3A;RPS16;RPL12;RPL39L;RPLP1;RPL21;RPS27;NNMT;RPL35;RPL10A;VSIG2;EEFSEC;RPS27A;RPL35A,44
GSE75214,Reactome_2022,Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332,0.700305952249702,2.1191289400839177,0.0,0.0010080389423720451,20,12,AGRN;SDC3;HSPG2;SDC1;GPC6;B3GALT6;GPC4;SDC4;BGN;GPC1;DCN;SDC2,45
GSE75214,Reactome_2022,Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174,-0.7450476437357934,-2.104877773239881,0.0,0.002497813105800895,16,11,PPARD;PDK4;PDHX;PDK3;PDHA1;PDK2;PLPP6;PDPK1;LDHD;DLAT;PDP2,46
GSE75214,Reactome_2022,Diseases Of Glycosylation R-HSA-3781865,0.4582342161474222,2.104048729669371,0.0,0.0010748802342497614,142,58,FMOD;ADAMTS9;MUC1;AGRN;THSD7A;SDC3;CHSY1;CHST14;DAG1;ADAMTS1;HSPG2;SLPI;HEXA;SDC1;ALG1;MUC12;GPC6;MUC5B;ADAMTSL4;MOGS;PRELP;MUC3B;GALK1;GNE;MUC2;ADAMTS15;B3GAT3;ALG12;OGN;MUC4;B3GALT6;NOTCH2;THSD4;GPC4;THBS1;NOTCH1;ADAMTSL5;DOLK;ADAMTS8;NOTCH3;SDC4;GALE;MUC17;BGN;GPC1;ADAMTS10;ADAMTS4;CFP;SPON1;PMM2;B4GALT7;ST3GAL3;CHST3;POMGNT1;DCN;SDC2;RFT1;ADAMTS6,47
GSE75214,Reactome_2022,Drug ADME R-HSA-9748784,-0.5112287897699168,-2.095163492474748,0.0,0.0022896620136508205,91,34,SLC16A1;NT5C2;ABCG2;BSG;UGT1A4;UGT1A8;UGT1A6;UGT1A1;UGT1A10;UGT1A3;UGT1A5;UGT1A9;UGT1A7;ABCC3;ABCB1;NUDT15;UGT2A3;HPRT1;ABCC2;TPMT;CYP2C9;SULT1A1;SLC22A3;UGT2B4;GSTA2;UGT2A1;UGT2A2;VAV3;UGT3A2;CYP2C19;UGT2B28;VAV2;ABCC5;GGT1,48
GSE75214,Reactome_2022,Defective B3GAT3 Causes JDSSDHD R-HSA-3560801,0.7007665183887197,2.0951018361384235,0.0,0.0011381084833232767,20,12,AGRN;SDC3;HSPG2;SDC1;GPC6;B3GAT3;GPC4;SDC4;BGN;GPC1;DCN;SDC2,49
GSE75214,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",-0.4925241718588898,-2.094894870897875,0.0,0.002181712687945199,112,44,ETFDH;NDUFC2;COX18;DMAC2L;ETFA;NDUFB3;NDUFS1;SCO1;NDUFA6;COX20;ATP5F1C;COX5B;NDUFS2;ETFB;COX16;ATP5PF;TMEM126B;NDUFAF6;NDUFAB1;SDHD;SDHB;NDUFB5;NDUFA2;LRPPRC;NDUFA5;UQCRQ;NDUFB6;NDUFB8;NDUFB9;TIMMDC1;ATP5MC1;NDUFV2;NDUFA12;UQCRC2;ATP5F1B;ATP5MF;NDUFAF5;CYCS;NDUFAF7;ATP5PD;UQCRFS1;ATP5PB;COX5A;NDUFS4,50
