library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,RAMP1,2,3,0.6666666666666666,0.5073426558072479,0.4691332159430153,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNB5,2,3,0.6666666666666666,0.45190310486531426,0.663463797865605,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADRB3,2,3,0.6666666666666666,0.3206716807508784,0.5770832911615915,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADORA2A,2,3,0.6666666666666666,0.21617882250641152,0.7551051996119728,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PRKAR1A,2,3,0.6666666666666666,0.25478105070264545,0.6009472925911743,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNG3,2,3,0.6666666666666666,0.37361170863542315,0.6023463116960716,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,RAMP2,2,3,0.6666666666666666,0.4966415190959129,0.6266868320051492,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,VIPR2,2,3,0.6666666666666666,0.4437803159461505,0.5416565984841957,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPHB5,1,3,0.3333333333333333,0.18407301042705645,0.7593588333292491,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,HTR6,1,3,0.3333333333333333,0.06200186765955938,0.9319818904178825,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPR83,1,3,0.3333333333333333,0.2526666242026252,0.4857666485957288,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GPR15,1,3,0.3333333333333333,-0.08275251070352381,0.9227906521530247,down,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,DRD1,1,3,0.3333333333333333,0.11851150994488209,0.7973560398752451,down,3
