gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
TSNAXIP1,3,0.729493666475493,1.0,0.38275502644948295,1.0,0.13228859089218364,0.39686577267655093,1.0,1.0,1.0
TICAM2,2,0.6205339296450965,1.0,0.5986737854726,1.0,0.3293976987547409,0.6587953975094818,1.0,1.0,1.0
ZNF77,3,0.7712023684755707,1.0,0.2447970764146341,0.7343912292439023,0.31928508881055867,0.957855266431676,1.0,1.0,1.0
TSPAN10,3,0.6252925008511054,1.0,0.22284074640208962,0.6685222392062689,0.4082992540906557,1.0,1.0,1.0,1.0
VESTAR,3,0.6168427172688783,1.0,0.3275138665175867,0.98254159955276,0.34062440019829493,1.0,1.0,1.0,1.0
SCN4A,3,0.70194532644659,1.0,0.4558165891790674,1.0,0.15297508254559122,0.45892524763677367,1.0,1.0,1.0
TSKS,3,0.600762346625955,1.0,0.32352011080654985,0.9705603324196496,0.3356521265366664,1.0,1.0,1.0,1.0
TIPIN,3,0.7811158893675695,1.0,0.237217046903715,0.711651140711145,0.38853219539461886,1.0,1.0,1.0,1.0
UBN2,3,0.7989719828525633,1.0,0.19513316909276474,0.5853995072782943,0.35506630061099886,1.0,1.0,1.0,1.0
TRPM3,3,0.3720911318473353,1.0,0.28462873818710127,0.8538862145613038,0.4777898320885067,1.0,1.0,1.0,1.0
TM9SF2,3,0.746260775973479,1.0,0.537448340307681,1.0,0.09964421556086296,0.2989326466825889,1.0,1.0,1.0
TRIP13,3,0.5026935649297417,1.0,0.3316938512204655,0.9950815536613966,0.29483616324105216,0.8845084897231565,1.0,1.0,1.0
TM9SF1,3,0.43151015617567245,1.0,0.48073313462719724,1.0,0.46881276846244957,1.0,1.0,1.0,1.0
TM7SF3,3,0.34260190579174,1.0,0.11147048324827233,0.33441144974481696,0.5982937597204755,1.0,1.0,1.0,1.0
VASH1,3,0.4927855541585198,1.0,0.07713538460163806,0.2314061538049142,0.2314219548723893,0.694265864617168,1.0,1.0,1.0
ZNF788P,3,0.756176668598544,1.0,0.11478486043920047,0.34435458131760144,0.3317929135538356,0.9953787406615069,1.0,1.0,1.0
UBR5,3,0.8852403936786818,1.0,0.30113759026281384,0.9034127707884415,0.11842000948528511,0.35526002845585536,1.0,1.0,1.0
TRIT1,3,0.6204436280753932,1.0,0.30296459400964654,0.9088937820289396,0.44560273129195893,1.0,1.0,1.0,1.0
ZRANB3,3,0.702939817906547,1.0,0.19150410158411263,0.5745123047523379,0.3241186472447539,0.9723559417342618,1.0,1.0,1.0
TRMT1,3,0.3628743178176681,1.0,0.5498507236207567,1.0,0.24237816027319092,0.7271344808195728,1.0,1.0,1.0
TM6SF2,3,0.3629964301774735,1.0,0.7934337495973445,1.0,0.040446032246911505,0.12133809674073451,1.0,1.0,1.0
ZNF786,3,0.426075046636692,1.0,0.763948902532881,1.0,0.11399211536410597,0.3419763460923179,1.0,1.0,1.0
TM6SF1,3,0.7503823724436895,1.0,0.3566076820445773,1.0,0.2659121035743763,0.7977363107231288,1.0,1.0,1.0
TM4SF5,3,0.5155644640469411,1.0,0.38984753949358575,1.0,0.366422520443064,1.0,1.0,1.0,1.0
UBR4,3,0.4055907240481229,1.0,0.4395591159395956,1.0,0.2208515380337543,0.6625546141012628,1.0,1.0,1.0
UBR3,3,0.6076335385609547,1.0,0.6179333989676015,1.0,0.21376311439065826,0.6412893431719748,1.0,1.0,1.0
TM4SF4,3,0.44206662488327986,1.0,0.10979587966451392,0.32938763899354173,0.485841156620951,1.0,1.0,1.0,1.0
RRP1B,3,0.42400168255693726,1.0,0.08067381873636172,0.24202145620908516,0.6914784456533087,1.0,1.0,1.0,1.0
RRP15,3,0.37423575280084476,1.0,0.33754444182269694,1.0,0.501903879189371,1.0,1.0,1.0,1.0
TM4SF20,3,0.4117055022932313,1.0,0.38007381859937706,1.0,0.5328024578591783,1.0,1.0,1.0,1.0
TRMT11,3,0.7324710928118798,1.0,0.3960082440803138,1.0,0.3107321045440326,0.9321963136320979,1.0,1.0,1.0
ZNF784,3,0.5681925986011623,1.0,0.08952429307050531,0.26857287921151596,0.3013179240528799,0.9039537721586397,1.0,1.0,1.0
RRN3P3,2,0.7188941275333418,1.0,0.37786196192202276,0.7557239238440455,0.16384028538360454,0.3276805707672091,1.0,1.0,1.0
TRIP12,3,0.621601909189792,1.0,0.4553473103096406,1.0,0.1097388117784709,0.3292164353354127,1.0,1.0,1.0
VARS1,3,0.4591885301415146,1.0,0.24391762355704572,0.7317528706711371,0.5817755974293477,1.0,1.0,1.0,1.0
TMBIM1,3,0.7416574798832118,1.0,0.41922349235597367,1.0,0.23884843709842152,0.7165453112952646,1.0,1.0,1.0
TMC1,3,0.3597477092369908,1.0,0.44803942706483635,1.0,0.3779383080568315,1.0,1.0,1.0,1.0
TRIM66,2,0.6523082211123481,1.0,0.5699284640348806,1.0,0.147904172220085,0.29580834444017,1.0,1.0,1.0
TMED1,3,0.7294935787957051,1.0,0.16912632881679962,0.5073789864503988,0.5633029107141913,1.0,1.0,1.0,1.0
UBXN2A,3,0.7353448348307337,1.0,0.2748576954766553,0.8245730864299659,0.31521781204297383,0.9456534361289215,1.0,1.0,1.0
UBXN11,3,0.8606042198389945,1.0,0.27273508090441845,0.8182052427132553,0.180646803885701,0.541940411657103,1.0,1.0,1.0
TMCO2,3,0.5185226676451347,1.0,0.6419849217587106,1.0,0.05034329842529256,0.15102989527587768,1.0,1.0,1.0
UBXN10,3,0.5291785620689586,1.0,0.12417591308473301,0.372527739254199,0.5764227292076749,1.0,1.0,1.0,1.0
VAMP8,3,0.4179272476158524,1.0,0.7606563887982156,1.0,0.04902109892272276,0.14706329676816826,1.0,1.0,1.0
TMCO1,3,0.36508234317108307,1.0,0.555821943869619,1.0,0.20789508253278227,0.6236852475983468,1.0,1.0,1.0
RSAD1,3,0.6045484042729714,1.0,0.5494239610161302,1.0,0.3366768403702422,1.0,1.0,1.0,1.0
RS1,3,0.6743579630275589,1.0,0.35954008371646257,1.0,0.18932505949849257,0.5679751784954777,1.0,1.0,1.0
TRIM67-AS1,2,0.5476500951659488,1.0,0.1308921102287165,0.261784220457433,0.6794330094942751,1.0,1.0,1.0,1.0
VASP,3,0.3996616207460169,1.0,0.33675038998369555,1.0,0.3344243972293812,1.0,1.0,1.0,1.0
TRIM68,3,0.4732015293196826,1.0,0.5392927401126024,1.0,0.1098798303608381,0.3296394910825143,1.0,1.0,1.0
TRIM72,3,0.7120211934701588,1.0,0.5207075275995824,1.0,0.0950526720659168,0.2851580161977504,1.0,1.0,1.0
TMCC2,3,0.37753495590526426,1.0,0.057807308198981576,0.17342192459694472,0.5316784286372922,1.0,1.0,1.0,1.0
RRS1,3,0.48521435410420555,1.0,0.4731106445736825,1.0,0.2635738421369031,0.7907215264107093,1.0,1.0,1.0
TRIM73,3,0.7792681377725703,1.0,0.40296695940451704,1.0,0.13617197863969988,0.4085159359190996,1.0,1.0,1.0
TMC7,3,0.4703736228675862,1.0,0.4171403527717521,1.0,0.5325732071382299,1.0,1.0,1.0,1.0
ZRANB1,3,0.3867488638822775,1.0,0.41393121856263004,1.0,0.34277266748445023,1.0,1.0,1.0,1.0
TMC4,3,0.3474138723362946,1.0,0.504087262053146,1.0,0.1744182508888749,0.5232547526666247,1.0,1.0,1.0
SCARNA17,3,0.4494837030295488,1.0,0.3209801186117126,0.9629403558351378,0.27654812056685907,0.8296443617005772,1.0,1.0,1.0
TMC2,3,0.3782111284062311,1.0,0.4356948875264884,1.0,0.036553951377588906,0.10966185413276672,1.0,1.0,1.0
TRIP11,3,0.7755406775886496,1.0,0.4438226293087649,1.0,0.1375087632889591,0.41252628986687734,1.0,1.0,1.0
RRP8,3,0.3378641097112636,1.0,0.1918508825343281,0.5755526476029843,0.4416637659708763,1.0,1.0,1.0,1.0
UBXN1,3,0.6505569508878715,1.0,0.3335923281161057,1.0,0.4255003678120837,1.0,1.0,1.0,1.0
TM4SF1,3,0.5765227448688107,1.0,0.37179937195588647,1.0,0.48561615806865377,1.0,1.0,1.0,1.0
TM2D3,3,0.46855253967011634,1.0,0.3403430347485038,1.0,0.3535560506136921,1.0,1.0,1.0,1.0
TM2D2,3,0.6401341784627808,1.0,0.12777327557970541,0.38331982673911624,0.4455480717279728,1.0,1.0,1.0,1.0
TRPA1,3,0.33474205468478613,1.0,0.17144995130148263,0.5143498539044479,0.4005864836334819,1.0,1.0,1.0,1.0
TRPC2,3,0.6989453321283777,1.0,0.2326649050769883,0.6979947152309649,0.366032037286111,1.0,1.0,1.0,1.0
SCFD2,3,0.5181663455778347,1.0,0.4123643315815393,1.0,0.42892381423974774,1.0,1.0,1.0,1.0
TRPC4,3,0.7949806939922405,1.0,0.41260802248767714,1.0,0.2718458326596815,0.8155374979790444,1.0,1.0,1.0
SCG2,3,0.6237794409118353,1.0,0.34099689199565336,1.0,0.5118555983838536,1.0,1.0,1.0,1.0
TLE6,3,0.9242089273749816,1.0,0.13588071661267775,0.40764214983803326,0.3286045398004523,0.9858136194013569,1.0,1.0,1.0
TRPC4AP,3,0.6099365046814597,1.0,0.5891493923166244,1.0,0.17738808569211742,0.5321642570763523,1.0,1.0,1.0
TLE4,3,0.3526906228784986,1.0,0.39805621350247655,1.0,0.45960916746119695,1.0,1.0,1.0,1.0
