gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
REXO2,3,0.03302414598374969,0.13898301024715906,-0.23938255410068204,0.30543084606818144,0.8121814008341637,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
CYP4F30P,2,0.10881938574581032,0.45820230237015175,-0.7892571268996871,1.0068958983913077,0.8122751170711009,0.3150347107415187,0.7465716521708456,up,1,1,0.5,1.0,0.9397927922887201
LAGE3,3,0.03503045285757152,0.14756833961828472,-0.2542034927942666,0.3242643985094096,0.8123584274264926,0.005499304065280562,0.0,up,2,1,0.6666666666666666,1.0,0.9397927922887201
LINC00261,2,0.06795371090358787,0.28658977827780147,-0.493762254520903,0.6296696763280787,0.8125703487065064,0.1128559259713048,0.6752594612649456,up,1,1,0.5,1.0,0.9397927922887201
URGCP-MRPS24,1,0.08695191017327326,0.3667404226190708,-0.6318593181601054,0.805763138506652,0.8125839591883538,0.0,0.0,up,1,0,1.0,,0.9397927922887201
EEF1E1,3,-0.032939505976362665,0.13894422351711114,-0.3052701840699005,0.23939117211717517,0.8126024916422399,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
ZBTB44-DT,2,0.044492327798098176,0.18767803894665003,-0.3233566285373359,0.41234128413353227,0.8126045725463011,0.013725611889838542,0.13985447143687454,up,1,1,0.5,1.0,0.9397927922887201
GPHN,3,0.07827746479527672,0.33028403466599043,-0.5690792431500645,0.725634172740618,0.8126564412665986,0.24912646422181642,0.7122324283840662,down,1,2,0.6666666666666666,1.0,0.9397927922887201
SLC25A6,3,-0.048311637941719617,0.20385728877926235,-0.4478719239490738,0.3512486480656346,0.8126664544497264,0.05616321784089211,0.4377056495213337,up,2,1,0.6666666666666666,1.0,0.9397927922887201
ST8SIA4,3,-0.03296099639521748,0.13911880064534093,-0.3056338456600857,0.23971185286965074,0.8127134438304562,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
WHAMMP3,3,-0.0457727311540144,0.19327817309069256,-0.42459795041177184,0.333052488103743,0.8127940499582206,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
ATP2A1,3,0.041171541950921084,0.17385393233846455,-0.2995821654324694,0.3819252493343116,0.8127988729777615,0.026182233088570348,0.2639954741084308,down,1,2,0.6666666666666666,1.0,0.9397927922887201
MPHOSPH9,3,0.032915643587764824,0.13906464112116884,-0.2396510530097261,0.3054823401852558,0.8128948738870478,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9397927922887201
ZNF227,3,-0.035183597800809055,0.14867412559044338,-0.32658488395807805,0.25621768835645997,0.8129290267328995,0.005947030615153395,0.2657600773409483,down,1,2,0.6666666666666666,1.0,0.9397927922887201
PLA2G4E,1,0.08678338678451931,0.3667398356017681,-0.6320266909949461,0.8055934645639848,0.812940164470822,0.0,0.0,up,1,0,1.0,,0.9397927922887201
S100A5,3,0.043914801545821246,0.1855853569313784,-0.31983249803968045,0.4076621011313229,0.8129449375139928,0.03688410113790434,0.4305705624370672,up,2,1,0.6666666666666666,1.0,0.9397927922887201
SEC16B,3,0.03292067265221386,0.1391389841519097,-0.23979173628552916,0.3056330815899569,0.8129649510650125,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
AEBP2,3,-0.03292210365395302,0.1391527127470135,-0.3056614206380995,0.23981721333019343,0.81297508320089,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
ATP11B,3,0.03289951058700122,0.13906018355438407,-0.23965844917959153,0.30545747035359394,0.8129789977191044,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9397927922887201
SPAG5-AS1,1,0.06466274130442806,0.27343421954109376,-0.4712683289961157,0.6005938116049718,0.8130573389352806,0.0,0.0,up,1,0,1.0,,0.9397927922887201
SEPTIN7P11,3,-0.03968822391164439,0.16788864285117105,-0.36874996389993964,0.28937351607665085,0.8131253059867762,0.021060552352634224,0.09357641335224078,down,1,2,0.6666666666666666,1.0,0.9397927922887201
TRPV5,3,0.032842528031376786,0.13894199378982452,-0.23948377979667929,0.30516883585943283,0.8131410556960421,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9397927922887201
BFSP1,3,-0.03995760077883681,0.16904994832991585,-0.37129549950547186,0.29138029794779824,0.8131489490512664,0.02182626413179017,0.377039132991461,down,1,2,0.6666666666666666,1.0,0.9397927922887201
POLB,3,-0.043734033595175366,0.18511186317417738,-0.40655328541656305,0.31908521822621233,0.8132329994478666,0.036434850038258575,0.43667999658672196,down,1,2,0.6666666666666666,1.0,0.9397927922887201
MT-ND2,2,-0.0799398684511759,0.33840132331156114,-0.7432064621418357,0.583326725239484,0.8132557519245768,0.12683693695810558,0.5438721024341986,up,1,1,0.5,1.0,0.9397927922887201
