Supplementary Table 2: Differential expression results (DESeq2) of ulcerative colitis patients vs healthy controls. (i) UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
CA4;74.33523325;1.008929252;0.114615082;8.802761645;1.3349E-18;5.66684E-17
DDAH2;150.396232;0.483405143;0.054912924;8.803121486;1.33062E-18;5.66684E-17
CARS2;294.0111795;0.383082438;0.043593473;8.787610036;1.52775E-18;6.46143E-17
SSR2;787.7729588;0.244714123;0.027880636;8.777207303;1.67584E-18;7.06149E-17
NDUFA11;281.4161642;0.315510734;0.036002108;8.76367399;1.88988E-18;7.934E-17
MAP2K6;95.90168188;0.613361439;0.070054626;8.755473807;2.03248E-18;8.50129E-17
NSUN5;251.4706322;0.290205293;0.033174494;8.74784373;2.17468E-18;9.06277E-17
RP11.229P13.20;50.10687388;0.555668342;0.063559679;8.742466197;2.28076E-18;9.47015E-17
SLC39A6;100.3818309;-0.534562418;0.061150342;-8.741773099;2.2948E-18;9.4938E-17
COX8A;600.4832373;0.25058586;0.028682566;8.736521737;2.40398E-18;9.90944E-17
BRK1;367.5034828;0.292995177;0.033551865;8.732604724;2.48874E-18;1.02218E-16
PRKCH;275.4384537;-0.4727298;0.054166995;-8.727266551;2.60902E-18;1.06773E-16
NF1;149.8246016;0.356904903;0.040942152;8.717297091;2.84922E-18;1.16185E-16
YTHDC1;582.3052836;-0.252313534;0.028954477;-8.714145761;2.92959E-18;1.19036E-16
TRAPPC10;197.301464;-0.345870091;0.039701088;-8.711854301;2.98944E-18;1.21035E-16
CBLL1;119.4134271;-0.454995513;0.05225079;-8.707916441;3.09511E-18;1.24869E-16
ETS1;952.9414392;-0.51075058;0.058660552;-8.706883354;3.12344E-18;1.25567E-16
RP11.242C19.2;36.9177463;0.947815469;0.109017888;8.694127952;3.49504E-18;1.40011E-16
FKBP5;747.5743491;0.869738645;0.100127509;8.68631061;3.744E-18;1.49458E-16
GIMAP8;184.9597897;-0.40654562;0.046878289;-8.672364775;4.23237E-18;1.68363E-16
LPCAT1;214.8553158;-0.363175018;0.041914466;-8.664670036;4.52823E-18;1.79504E-16
RP11.651L5.2;23.32360252;0.884378871;0.10214228;8.65830361;4.78837E-18;1.89157E-16
SLAIN2;138.5673566;-0.371998391;0.0429733;-8.656500425;4.86469E-18;1.91507E-16
LIMD2;1121.911826;0.253642076;0.029304471;8.655405328;4.91163E-18;1.92688E-16
S100A11;2283.479086;0.598065171;0.069117557;8.652869078;5.02206E-18;1.96344E-16
OTUB1;219.935655;0.356372335;0.041202302;8.64933061;5.18024E-18;2.01834E-16
ANKRD12;1254.078254;-0.500764195;0.057912412;-8.646923408;5.29065E-18;2.05432E-16
RNU6.469P;41.1976415;0.922023586;0.106670049;8.643697035;5.44227E-18;2.10601E-16
IFI30;25.68953527;0.814174251;0.094200908;8.642955434;5.47773E-18;2.11255E-16
VCP;359.290408;-0.25310934;0.029291742;-8.640979555;5.57331E-18;2.14215E-16
IRF9;83.45686815;0.68008443;0.078755534;8.635385965;5.85291E-18;2.24204E-16
PABPC1L;125.6514986;0.444134502;0.051527791;8.619319689;6.73531E-18;2.5714E-16
CTB.131B5.2;98.93143438;0.905257959;0.105081016;8.61485728;7.00288E-18;2.66461E-16
RP11.701P16.5;81.60330398;0.909446869;0.105658628;8.607407486;7.47314E-18;2.83406E-16
ZNF787;160.8580456;0.491390551;0.057156519;8.597279247;8.16282E-18;3.08533E-16
MPEG1;864.9010117;-0.361009028;0.042006316;-8.594160634;8.38756E-18;3.15978E-16
SPG20;129.2782211;-0.537325817;0.06256625;-8.588109613;8.84119E-18;3.31968E-16
TAF15;401.7980408;-0.327485636;0.038137227;-8.587033351;8.92437E-18;3.33989E-16
GSTK1;670.9146421;0.249004225;0.02900385;8.585212892;9.06684E-18;3.38208E-16
MT.TV;2412.772585;0.965582328;0.112530151;8.580654317;9.4335E-18;3.50735E-16
RAP1GAP2;257.1014264;-0.354739338;0.041346561;-8.579657578;9.5156E-18;3.52635E-16
CNIH4;264.7205242;0.487461717;0.05688131;8.569804626;1.03661E-17;3.81754E-16
NDUFA2;300.4960264;0.305153562;0.035608106;8.569777995;1.03685E-17;3.81754E-16
KCNE1;78.42641608;0.874501236;0.102149053;8.561031274;1.11862E-17;4.10535E-16
HK3;219.5203167;0.694492337;0.081223055;8.550433543;1.22627E-17;4.48594E-16
ZNHIT1;127.37924;0.359529116;0.042053816;8.549262544;1.23877E-17;4.51716E-16
