Supplementary Table 3: Differential expression results (DESeq2) of primary sclerosing cholangitis patients with and without UC comorbidity vs healthy controls. (ii) PSC alone + PSC/UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
SPN;1062.32266;-0.247901427;0.055994228;-4.4272675;9.54344E-06;0.000219345
BCL2A1;253.8166927;0.631848396;0.142775749;4.425460198;9.62369E-06;0.000220743
XYLT2;65.94744727;-0.289116215;0.065337252;-4.424982767;9.645E-06;0.000220787
VTI1B;329.1875356;0.411901771;0.093161935;4.421352664;9.80849E-06;0.000224079
NEIL1;35.48489787;-0.443219885;0.100295671;-4.419132775;9.90978E-06;0.000225147
ATIC;140.0283326;-0.269774931;0.061048491;-4.419027025;9.91463E-06;0.000225147
DANCR;46.19007582;-0.35693803;0.080772693;-4.41904333;9.91388E-06;0.000225147
IL11RA;196.2614109;-0.336592563;0.076217068;-4.416236065;1.00434E-05;0.000227618
TAMM41;42.88515718;-0.375044044;0.084955167;-4.414611356;1.01192E-05;0.000228878
RP11.229P13.20;50.10687388;0.356627206;0.080804602;4.413451668;1.01735E-05;0.000229593
CYBB.1;1774.478977;0.265090881;0.060069382;4.413078236;1.01911E-05;0.000229593
FAM159A;56.81459813;-0.394312679;0.089380856;-4.411601057;1.02609E-05;0.000229835
CTSZ;1011.728895;0.249339592;0.056512883;4.412084132;1.0238E-05;0.000229835
CASK;64.77988457;-0.319854139;0.07250351;-4.411567618;1.02625E-05;0.000229835
ST8SIA1;47.83157774;0.833974208;0.189112703;4.409932251;1.03403E-05;0.00023067
VNN1;78.68303565;0.721986793;0.163711103;4.410127221;1.0331E-05;0.00023067
NME8;18.31071447;0.621087081;0.140884037;4.408498616;1.0409E-05;0.000231747
RAB31;2139.423457;0.321480774;0.073046596;4.401037037;1.07735E-05;0.000239394
HMCES;196.0840705;-0.255866715;0.058154142;-4.399802096;1.0835E-05;0.000240291
ABCA8;57.32741161;0.605227292;0.137594922;4.398616479;1.08943E-05;0.000241137
SFI1;73.40246772;-0.325256038;0.073961423;-4.397644423;1.09432E-05;0.00024163
HSD17B11;479.8925685;0.273589602;0.062217201;4.397330613;1.0959E-05;0.00024163
G0S2;23.12212145;0.736458606;0.167684642;4.391926386;1.12351E-05;0.000247237
RNASE2;141.3824393;0.567516693;0.129270258;4.390156729;1.13269E-05;0.000248183
GPR27;155.1353386;0.476637132;0.108580735;4.389702593;1.13506E-05;0.000248183
CCNI;3472.958224;0.270126758;0.061539996;4.38945033;1.13638E-05;0.000248183
TNIP1;731.4900762;0.270929118;0.061723211;4.389420351;1.13653E-05;0.000248183
PYGO2;196.7214748;-0.237749801;0.054176142;-4.388459459;1.14156E-05;0.000248804
LAT2;730.3796304;0.234913384;0.053552567;4.386594276;1.15139E-05;0.000250466
ST6GAL1;546.3349458;-0.271078122;0.061811489;-4.385562066;1.15687E-05;0.000251177
C3AR1;105.5772761;0.452330734;0.103174317;4.384140808;1.16444E-05;0.000251383
SECTM1;1072.569074;0.374470947;0.085406417;4.384576214;1.16212E-05;0.000251383
ZDHHC2;160.5599687;0.477381794;0.108880609;4.384451911;1.16278E-05;0.000251383
FYN;987.5958874;-0.24492557;0.055883321;-4.38280268;1.17162E-05;0.000252454
UBALD2;1671.159551;0.31058065;0.07088434;4.381512892;1.17858E-05;0.000252995
RPL18;4344.04352;-0.222928242;0.050877946;-4.381628146;1.17796E-05;0.000252995
C1orf35;112.3616655;-0.237898956;0.054304526;-4.380831095;1.18227E-05;0.00025331
RBP7;107.4977526;0.363506158;0.082994723;4.379870706;1.1875E-05;0.00025395
LTBP3;103.4811945;-0.380745278;0.086954473;-4.378673853;1.19404E-05;0.00025487
DEGS1;117.2888433;0.292992848;0.066962532;4.375474464;1.21169E-05;0.000258153
DNAJA3;95.01067185;-0.301788955;0.068986198;-4.374627992;1.2164E-05;0.000258672
CD274;61.59316886;0.654918505;0.149728512;4.374040027;1.21968E-05;0.000258886
CCNDBP1;803.1849159;0.343536062;0.078549244;4.373512007;1.22264E-05;0.00025903
SAMSN1;219.0518262;0.49210169;0.112559802;4.37191325;1.23162E-05;0.00026045
MCM3;104.686389;-0.288559572;0.06604852;-4.368902949;1.24872E-05;0.000263575
TMEM59;506.7554095;0.233707108;0.053515607;4.36708317;1.25917E-05;0.000264161
LCP1;4718.589565;0.222776019;0.051006606;4.36759151;1.25624E-05;0.000264161
GPR160;63.85035951;0.515773903;0.118108617;4.366945564;1.25996E-05;0.000264161
TLR4;289.7460862;0.360811001;0.082625899;4.366802744;1.26078E-05;0.000264161
NOSIP;558.4541034;-0.257162532;0.058938609;-4.363226996;1.28158E-05;0.000268024
MAP3K4;99.71388971;-0.263326726;0.060362748;-4.362404557;1.28641E-05;0.00026854
PDK3;110.573725;0.324798033;0.074543478;4.357162343;1.3176E-05;0.000274547
TLE2;14.48273871;-0.587445742;0.13491468;-4.354201804;1.33553E-05;0.000277775
TRABD2A;373.4355109;-0.391329342;0.089955954;-4.350232799;1.35993E-05;0.000282335
STMN1;189.1216422;-0.324771158;0.074714463;-4.34683117;1.38118E-05;0.000285329
XRCC6;111.4768796;-0.231208057;0.053185501;-4.34720091;1.37886E-05;0.000285329
XK.1;174.3599282;0.825507221;0.189914931;4.346721002;1.38188E-05;0.000285329
IGF2BP2;324.1979653;0.608354691;0.139978563;4.346056122;1.38607E-05;0.000285676
MEGF9;758.8102741;0.328387039;0.075623767;4.342378739;1.40948E-05;0.000289976
MANSC1;143.6307219;0.498276464;0.114805317;4.340186292;1.42362E-05;0.000291829
SEPT6;1534.651822;-0.267862314;0.061714944;-4.340315254;1.42278E-05;0.000291829
DDX51;62.15714389;-0.327402501;0.075447257;-4.339488463;1.42815E-05;0.000292231
FBL;1148.622571;-0.262270949;0.060492187;-4.335616896;1.45352E-05;0.000296888
GLTSCR2;1633.243628;-0.245291124;0.056597944;-4.333922854;1.46476E-05;0.000298647
GIMAP5;691.390507;-0.275729226;0.063638378;-4.332750689;1.47258E-05;0.000299705
LIPE;24.70244242;-0.421248956;0.097248116;-4.331692725;1.47967E-05;0.00030053
PATZ1;142.0706615;-0.258569572;0.059697092;-4.331359566;1.48191E-05;0.00030053
FECH;598.2681934;0.765538601;0.176841656;4.328949512;1.49822E-05;0.000303297
LILRB2;1135.653232;0.266308608;0.061528674;4.328203261;1.50331E-05;0.000303786
DYNLT1;345.9800833;0.288284422;0.066644941;4.325676035;1.52065E-05;0.000306745
THAP7;48.80801688;-0.338402147;0.078240204;-4.325169547;1.52415E-05;0.000306906
